,Category,Full data_baseline,Full data_APT,,1-shot_baseline,1-shot_APT,,5-shot_baseline,5-shot_APT,,10-shot_baseline,10-shot_APT,,,,,,
0,dog,10.63,12.06,1.43,0.92,1.21,0.29,5.32,12.89,7.56,9.19,13.18,3.98,,,,,
1,rooster,8.38,12.32,3.94,3.83,6.49,2.66,6.67,9.05,2.38,7.92,10.14,2.22,,,,,
2,pig,3.35,5.98,2.63,1.92,2.12,0.21,2.28,2.93,0.66,2.88,1.04,-1.84,,,,,
3,cow,7.30,9.32,2.02,2.31,5.27,2.96,5.26,8.29,3.03,6.97,8.45,1.48,,,,,
4,frog,4.78,9.82,5.04,0.45,0.29,-0.16,7.46,9.84,2.38,5.36,8.97,3.60,,,,,
5,cat,9.56,10.62,1.06,8.58,9.23,0.65,8.23,8.53,0.30,9.04,9.26,0.21,,,,,
6,hen,4.42,5.90,1.48,1.90,0.39,-1.51,4.89,4.10,-0.78,4.23,6.68,2.45,,,,,
7,insects,3.79,4.96,1.17,2.36,1.37,-0.99,3.62,5.08,1.46,3.47,4.37,0.90,,,,,
8,sheep,4.30,4.90,0.60,1.15,2.00,0.86,4.51,4.85,0.34,4.73,5.44,0.71,,,,,
9,crow,5.45,6.64,1.19,2.39,3.08,0.68,5.00,4.46,-0.54,4.39,4.39,0.00,,,,,
10,rain,5.52,5.71,0.19,3.15,3.17,0.02,4.70,6.55,1.85,4.97,5.80,0.82,,,,,
11,sea_waves,5.75,6.30,0.55,4.64,5.56,0.92,5.20,6.03,0.83,5.51,6.63,1.12,,,,,
12,crackling_fire,6.01,9.34,3.33,4.74,5.59,0.85,4.82,5.81,1.00,5.35,5.88,0.52,,,,,
13,crickets,3.65,14.50,10.85,0.52,1.13,0.62,1.43,2.13,0.70,1.95,10.88,8.93,,,,,
14,chirping_birds,5.11,9.67,4.56,5.67,4.67,-1.00,4.51,7.73,3.22,5.78,7.07,1.29,,,,,
15,water_drops,3.85,8.47,4.62,2.21,3.38,1.18,3.24,6.66,3.42,3.78,6.05,2.27,,,,,
16,wind,3.47,5.95,2.48,1.97,2.24,0.28,2.73,3.24,0.51,2.99,2.16,-0.83,,,,,
17,pouring_water,5.26,7.70,2.44,1.85,3.20,1.35,6.73,7.14,0.41,6.36,7.27,0.91,,,,,
18,toilet_flush,4.48,7.07,2.59,4.27,5.88,1.61,4.81,6.66,1.86,4.78,6.74,1.96,,,,,
19,thunderstorm,5.38,6.56,1.18,3.99,3.64,-0.35,5.47,4.32,-1.16,5.47,6.08,0.61,,,,,
20,crying_baby,5.11,8.48,3.37,5.03,4.08,-0.95,4.97,4.15,-0.82,4.93,8.02,3.09,,,,,
21,sneezing,11.70,12.94,1.24,9.91,7.53,-2.38,8.97,12.17,3.21,11.26,11.56,0.31,,,,,
22,clapping,2.82,4.85,2.03,2.95,2.59,-0.37,3.90,4.65,0.75,3.72,5.42,1.70,,,,,
23,breathing,4.25,3.69,-0.56,1.22,0.99,-0.24,3.53,2.71,-0.82,3.95,3.59,-0.36,,,,,
24,coughing,6.62,5.68,-0.94,4.81,6.60,1.79,4.95,9.58,4.63,7.28,6.99,-0.29,,,,,
25,footsteps,6.94,6.72,-0.22,2.01,2.47,0.46,2.50,1.92,-0.58,3.31,6.71,3.41,,,,,
26,laughing,4.13,5.08,0.95,1.86,0.50,-1.37,2.65,2.61,-0.03,3.33,3.74,0.42,,,,,
27,brushing_teeth,8.15,9.60,1.45,6.99,6.98,-0.01,4.39,3.67,-0.73,5.84,3.23,-2.61,,,,,
28,snoring,5.68,5.98,0.30,3.67,3.29,-0.37,5.00,4.59,-0.41,6.78,6.59,-0.19,,,,,
29,drinking_sipping,3.02,3.53,0.51,1.87,1.60,-0.28,3.22,4.40,1.18,2.58,6.96,4.38,,,,,
30,door_wood_knock,10.05,11.55,1.50,7.79,6.57,-1.22,10.07,10.43,0.36,9.94,11.01,1.08,,,,,
31,mouse_click,5.62,5.75,0.13,3.23,4.95,1.72,5.92,7.80,1.87,6.05,7.40,1.35,,,,,
32,keyboard_typing,5.68,7.96,2.28,4.38,3.85,-0.53,6.05,6.00,-0.04,4.00,4.74,0.75,,,,,
33,door_wood_creaks,1.76,5.54,3.78,1.36,2.14,0.78,0.71,2.17,1.46,0.85,2.45,1.60,,,,,
34,can_opening,5.83,9.67,3.84,7.90,9.77,1.87,7.26,12.84,5.58,5.59,8.17,2.58,,,,,
35,washing_machine,3.76,3.77,0.01,2.34,3.66,1.32,3.82,4.64,0.82,3.95,4.56,0.61,,,,,
36,vacuum_cleaner,3.68,7.59,3.91,2.55,2.54,-0.01,3.76,3.62,-0.14,3.88,5.83,1.95,,,,,
37,clock_alarm,6.27,15.65,9.38,3.24,3.39,0.15,6.65,11.95,5.31,3.99,13.86,9.87,,,,,
38,clock_tick,5.58,7.96,2.38,0.24,0.27,0.03,0.90,0.75,-0.15,3.13,6.86,3.73,,,,,
39,glass_breaking,10.28,14.52,4.24,8.60,12.54,3.94,9.83,12.33,2.49,10.13,12.80,2.67,,,,,
40,helicopter,4.61,6.30,1.69,4.28,5.33,1.05,4.25,6.94,2.68,4.47,5.78,1.31,,,,,
41,chainsaw,5.02,7.03,2.01,3.88,5.00,1.12,4.25,6.22,1.97,3.61,5.97,2.35,,,,,
42,siren,4.09,9.71,5.62,0.25,0.97,0.71,2.91,3.10,0.19,2.83,7.88,5.05,,,,,
43,car_horn,4.35,7.67,3.32,0.63,0.66,0.03,7.43,7.05,-0.38,9.08,8.46,-0.61,,,,,
44,engine,4.65,7.75,3.10,4.80,4.16,-0.64,4.50,4.45,-0.05,4.48,5.52,1.04,,,,,
45,train,4.02,4.55,0.53,1.72,1.33,-0.40,2.98,3.30,0.31,3.36,3.40,0.04,,,,,
46,church_bells,6.82,11.79,4.97,6.02,6.20,0.18,7.09,11.60,4.51,8.25,11.18,2.93,,,,,
47,airplane,3.87,6.24,2.37,2.87,5.09,2.22,3.81,4.29,0.48,3.95,7.22,3.27,,,,,
48,fireworks,3.57,6.52,2.95,0.92,0.39,-0.53,1.91,2.44,0.53,3.20,4.32,1.12,,,,,
49,hand_saw,4.94,6.43,1.49,3.65,3.31,-0.34,4.32,4.75,0.43,4.55,6.06,1.51,,,,,
,average,6.44,8.50,2.06,4.09,4.57,0.48,5.59,6.68,1.09,6.10,7.59,1.49,,,,,
